name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock,income,roe
(주)픽셀플러스,87600,Dec-16,,,,,,,131,,,,15650,,
(주)픽셀플러스,87600,Dec-17,,,,,,,129,,,,10000,,
(주)픽셀플러스,87600,Dec-18,,,,,,,130,,,,6040,,
(주)픽셀플러스,87600,Dec-19,,,,,,,112,,,,3970,,
(주)픽셀플러스,87600,Dec-20,,,,,,,99,,,,7440,,
(주)핌스,347770,Dec-19,20514096,11725576,27884170,8505801,12995170,37783376,,957052,14889001,5544089,,6517823,
(주)핌스,347770,Dec-20,37677217,7325432,67382986,13405903,18093534,40510331,114,3632472,49289452,4917411,15800,4105977,10.26
(주)하이소닉,106080,Dec-10,24338756,6229140,34991891,4953928,6580192,28689867,66,2619906,28411699,254475,5130,,0.9
(주)하이소닉,106080,Dec-11,29635194,9174655,41982763,5756744,12180201,49666396,70,3390877,29802562,903078,3590,1646322,3.1
(주)하이소닉,106080,Dec-12,22933670,10157644,47465224,9563838,13003501,48336256,85,3550157,34461724,3839686,6850,7563551,11.95
(주)하이소닉,106080,Dec-13,16089427,16524915,44737429,3755879,17396394,43739519,92,5321956,27341035,-5682378,4995,-4744768,-18.39
(주)하이소닉,106080,Dec-14,17557327,21688390,48505395,-4300342,28709984,35183403,74,5321956,19795411,-7799451,3280,-5356344,-33.09
(주)하이소닉,106080,Dec-15,17835400,13636090,43692572,-3673297,20002369,53606368,67,5712916,23690202,623606,4640,1343885,2.87
(주)하이소닉,106080,Dec-16,27632001,22152453,51067235,-11030043,24748296,32294254,58,6889512,26318939,-7284678,3490,-5223729,-28.84
(주)하이소닉,106080,Dec-17,20729744,15845918,40660600,-20187074,18776331,43412643,42,15340997,21884269,-9153618,525,-1625823,-38.1
(주)하이소닉,106080,Dec-18,14944794,29332685,34061708,-53192249,31275498,20064958,43,20645684,2786211,-33001201,798,-6246702,-269.04
(주)하이소닉,106080,Dec-19,10333881,6458207,18798333,-75973581,7573373,13164584,31,14762358,11224960,-7318936,4200,-5783565,-107.02
(주)하이소닉,106080,Dec-20,11415070,15176152,21492502,-82151400,16352303,9809337,22,14640726,5140199,-6341857,3330,-5286262,-79.27
(주)하이트론씨스템즈,19490,Dec-10,64778063,33502040,96776969,27134222,37608733,127067463,324,13826838,59168236,-3761726,4320,,-12.72
(주)하이트론씨스템즈,19490,Dec-11,62866202,31626244,94288391,26100278,36811904,123197412,295,13826838,57476486,-1033943,7160,-2866344,-1.77
(주)하이트론씨스템즈,19490,Dec-12,57006582,24840130,87699732,26334501,30186296,116920180,260,13826838,57513436,234223,5640,-2175247,0.41
(주)하이트론씨스템즈,19490,Dec-13,43188598,17048441,73124265,19939446,22904676,96846749,243,13826838,50219589,-6395055,6480,-5733583,-11.87
